Miseq id;e4057165994;e4057165995;e4057166019;e4057166165;e4057166168;e4057166177;e4057166178;e4057166179;e4057166189;e4057166201;e4057166202;e4057166213;e4057166225;e4057166227;e4057166236;e4057166238;e4057166239;e4057166248;e4057166249;e4057166250;e4057166251
e4057165994;0;0;0;0.00966613;0;0.01213987;0.01470949;0.01470949;0.01213987;0.01213987;0.01470949;0;0;0.01470949;0.01690537;0.01470949;0.01470949;0.00966613;0;0.01470949;0.0023574
e4057165995;0;0;0;0.00966613;0;0.01213987;0.01470949;0.01470949;0.01213987;0.01213987;0.01470949;0;0;0.01470949;0.01690537;0.01470949;0.01470949;0.00966613;0;0.01470949;0.0023574
e4057166019;0;0;0;0.00966613;0;0.01213987;0.01470949;0.01470949;0.01213987;0.01213987;0.01470949;0;0;0.01470949;0.01690537;0.01470949;0.01470949;0.00966613;0;0.01470949;0.0023574
e4057166165;0.00966613;0.00966613;0.00966613;0;0.00966613;0.0070791;0.00964872;0.00964872;0.0070791;0.0070791;0.00964872;0.00966613;0.00966613;0.00964872;0.00723924;0.00964872;0.00964872;0;0.00966613;0.00964872;0.01202353
e4057166168;0;0;0;0.00966613;0;0.01213987;0.01470949;0.01470949;0.01213987;0.01213987;0.01470949;0;0;0.01470949;0.01690537;0.01470949;0.01470949;0.00966613;0;0.01470949;0.0023574
e4057166177;0.01213987;0.01213987;0.01213987;0.0070791;0.01213987;0;0.00719714;0.00719714;0;0;0.00719714;0.01213987;0.01213987;0.00719714;0.01431834;0.00719714;0.00719714;0.0070791;0.01213987;0.00719714;0.01449727
e4057166178;0.01470949;0.01470949;0.01470949;0.00964872;0.01470949;0.00719714;0;0;0.00719714;0.00719714;0;0.01470949;0.01470949;0;0.01688796;0;0;0.00964872;0.01470949;0;0.01706689
e4057166179;0.01470949;0.01470949;0.01470949;0.00964872;0.01470949;0.00719714;0;0;0.00719714;0.00719714;0;0.01470949;0.01470949;0;0.01688796;0;0;0.00964872;0.01470949;0;0.01706689
e4057166189;0.01213987;0.01213987;0.01213987;0.0070791;0.01213987;0;0.00719714;0.00719714;0;0;0.00719714;0.01213987;0.01213987;0.00719714;0.01431834;0.00719714;0.00719714;0.0070791;0.01213987;0.00719714;0.01449727
e4057166201;0.01213987;0.01213987;0.01213987;0.0070791;0.01213987;0;0.00719714;0.00719714;0;0;0.00719714;0.01213987;0.01213987;0.00719714;0.01431834;0.00719714;0.00719714;0.0070791;0.01213987;0.00719714;0.01449727
e4057166202;0.01470949;0.01470949;0.01470949;0.00964872;0.01470949;0.00719714;0;0;0.00719714;0.00719714;0;0.01470949;0.01470949;0;0.01688796;0;0;0.00964872;0.01470949;0;0.01706689
e4057166213;0;0;0;0.00966613;0;0.01213987;0.01470949;0.01470949;0.01213987;0.01213987;0.01470949;0;0;0.01470949;0.01690537;0.01470949;0.01470949;0.00966613;0;0.01470949;0.0023574
e4057166225;0;0;0;0.00966613;0;0.01213987;0.01470949;0.01470949;0.01213987;0.01213987;0.01470949;0;0;0.01470949;0.01690537;0.01470949;0.01470949;0.00966613;0;0.01470949;0.0023574
e4057166227;0.01470949;0.01470949;0.01470949;0.00964872;0.01470949;0.00719714;0;0;0.00719714;0.00719714;0;0.01470949;0.01470949;0;0.01688796;0;0;0.00964872;0.01470949;0;0.01706689
e4057166236;0.01690537;0.01690537;0.01690537;0.00723924;0.01690537;0.01431834;0.01688796;0.01688796;0.01431834;0.01431834;0.01688796;0.01690537;0.01690537;0.01688796;0;0.01688796;0.01688796;0.00723924;0.01690537;0.01688796;0.01926277
e4057166238;0.01470949;0.01470949;0.01470949;0.00964872;0.01470949;0.00719714;0;0;0.00719714;0.00719714;0;0.01470949;0.01470949;0;0.01688796;0;0;0.00964872;0.01470949;0;0.01706689
e4057166239;0.01470949;0.01470949;0.01470949;0.00964872;0.01470949;0.00719714;0;0;0.00719714;0.00719714;0;0.01470949;0.01470949;0;0.01688796;0;0;0.00964872;0.01470949;0;0.01706689
e4057166248;0.00966613;0.00966613;0.00966613;0;0.00966613;0.0070791;0.00964872;0.00964872;0.0070791;0.0070791;0.00964872;0.00966613;0.00966613;0.00964872;0.00723924;0.00964872;0.00964872;0;0.00966613;0.00964872;0.01202353
e4057166249;0;0;0;0.00966613;0;0.01213987;0.01470949;0.01470949;0.01213987;0.01213987;0.01470949;0;0;0.01470949;0.01690537;0.01470949;0.01470949;0.00966613;0;0.01470949;0.0023574
e4057166250;0.01470949;0.01470949;0.01470949;0.00964872;0.01470949;0.00719714;0;0;0.00719714;0.00719714;0;0.01470949;0.01470949;0;0.01688796;0;0;0.00964872;0.01470949;0;0.01706689
e4057166251;0.0023574;0.0023574;0.0023574;0.01202353;0.0023574;0.01449727;0.01706689;0.01706689;0.01449727;0.01449727;0.01706689;0.0023574;0.0023574;0.01706689;0.01926277;0.01706689;0.01706689;0.01202353;0.0023574;0.01706689;0
